symbol,Short Name,Long Name,GICS Sector,GICS Sub-Industry,Headquarters Location
BRBR,"BellRing Brands, Inc.","BellRing Brands, Inc.",Consumer Staples,Packaged Foods & Meats,
BRKR,Bruker Corporation,Bruker Corporation,Health Care,Health Care Equipment,"Billerica, Massachusetts"
BRX,Brixmor Property Group Inc.,Brixmor Property Group Inc.,Real Estate,Retail REITs,"New York City, New York"
BSY,"Bentley Systems, Incorporated","Bentley Systems, Incorporated",Information Technology,Application Software,"Exton, Pennsylvania"
BURL,"Burlington Stores, Inc.","Burlington Stores, Inc.",Consumer Discretionary,Apparel Retail,"Burlington, New Jersey"
BWXT,"BWX Technologies, Inc.","BWX Technologies, Inc.",Industrials,Aerospace & Defense,"Lynchburg, Virginia"
BYD,Boyd Gaming Corporation,Boyd Gaming Corporation,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada"
CACI,"CACI International, Inc.",CACI International Inc,Industrials,Diversified Support Services,"Reston, Virginia"
CADE,Cadence Bank,Cadence Bank,Financials,Regional Banks,"Tupelo, Mississippi Houston, Texas"
CAR,"Avis Budget Group, Inc.","Avis Budget Group, Inc.",Industrials,Passenger Ground Transportation,"Parsippany, New Jersey"
CART,Maplebear Inc.,Maplebear Inc.,Consumer Staples,Food Retail,"San Francisco, California"
CASY,"Caseys General Stores, Inc.","Casey's General Stores, Inc.",Consumer Staples,Food Retail,"Ankeny, Iowa"
CAVA,"CAVA Group, Inc.","CAVA Group, Inc.",Consumer Discretionary,Restaurants,"Washington, D.C."
CBSH,"Commerce Bancshares, Inc.","Commerce Bancshares, Inc.",Financials,Regional Banks,"Kansas City, Missouri"
CBT,Cabot Corporation,Cabot Corporation,Materials,Diversified Chemicals,"Boston, Massachusetts"
CCK,"Crown Holdings, Inc.","Crown Holdings, Inc.",Materials,Paper & Plastic Packaging Products & Materials,"Yardley, Pennsylvania"
CDP,COPT Defense Properties,COPT Defense Properties,Real Estate,Office REITs,"Columbia, Maryland"
CELH,"Celsius Holdings, Inc.","Celsius Holdings, Inc.",Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Boca Raton, Florida"
CFR,"Cullen/Frost Bankers, Inc.","Cullen/Frost Bankers, Inc.",Financials,Regional Banks,"San Antonio, Texas"
CG,The Carlyle Group Inc.,The Carlyle Group Inc.,Financials,Asset Management & Custody Banks,"Washington, D.C."
CGNX,Cognex Corporation,Cognex Corporation,Information Technology,Electronic Equipment & Instruments,"Natick, Massachusetts"
CHDN,"Churchill Downs, Incorporated",Churchill Downs Incorporated,Consumer Discretionary,Casinos & Gaming,"Louisville, Kentucky"
CHE,Chemed Corp,Chemed Corporation,Health Care,Health Care Services,"Cincinnati, Ohio"
CHH,"Choice Hotels International, In","Choice Hotels International, Inc.",Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Rockville, Maryland"
CHRD,Chord Energy Corporation,Chord Energy Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
CHWY,"Chewy, Inc.","Chewy, Inc.",Consumer Discretionary,Other Specialty Retail,"Plantation, Florida"
CIEN,Ciena Corporation,Ciena Corporation,Information Technology,Communications Equipment,"Hanover, Maryland"
CIVI,"Civitas Resources, Inc.","Civitas Resources, Inc.",Energy,Oil & Gas Exploration & Production,"Denver, Colorado"
CLF,Cleveland-Cliffs Inc.,Cleveland-Cliffs Inc.,Materials,Steel,"Cleveland, Ohio"
CLH,"Clean Harbors, Inc.","Clean Harbors, Inc.",Industrials,Environmental & Facilities Services,"Norwell, Massachusetts"
CMA,Comerica Incorporated,Comerica Incorporated,Financials,Regional Banks,"Dallas, Texas"
CMC,Commercial Metals Company,Commercial Metals Company,Materials,Steel,"Irving, Texas"
CNH,CNH Industrial N.V.,CNH Industrial N.V.,Industrials,Agricultural & Farm Machinery,"Amsterdam, Netherlands"
CNM,"Core & Main, Inc.","Core & Main, Inc.",Industrials,Trading Companies & Distributors,"St. Louis, Missouri"
CNO,"CNO Financial Group, Inc.","CNO Financial Group, Inc.",Financials,Life & Health Insurance,"Carmel, Indiana"
CNX,CNX Resources Corporation,CNX Resources Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania"
CNXC,Concentrix Corporation,Concentrix Corporation,Industrials,Data Processing & Outsourced Services,"Newark, California"
COHR,Coherent Corp.,Coherent Corp.,Information Technology,Electronic Components,"Saxonburg, Pennsylvania"
COKE,"Coca-Cola Consolidated, Inc.","Coca-Cola Consolidated, Inc.",Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Charlotte, North Carolina"
COLB,"Columbia Banking System, Inc.","Columbia Banking System, Inc.",Financials,Regional Banks,"Tacoma, Washington"
COLM,Columbia Sportswear Company,Columbia Sportswear Company,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Portland, Oregon"
COTY,Coty Inc.,Coty Inc.,Consumer Staples,Personal Care Products,"New York City, New York"
CPRI,Capri Holdings Limited,Capri Holdings Limited,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York"
CR,Crane Company,Crane Company,Industrials,Industrial Machinery & Supplies & Components,"Stamford, Connecticut"
CROX,"Crocs, Inc.","Crocs, Inc.",Consumer Discretionary,Footwear,"Broomfield, Colorado"
CRS,Carpenter Technology Corporatio,Carpenter Technology Corporation,Materials,Steel,"Philadelphia, Pennsylvania"
CRUS,"Cirrus Logic, Inc.","Cirrus Logic, Inc.",Information Technology,Semiconductors,"Austin, Texas"
CSL,Carlisle Companies Incorporated,Carlisle Companies Incorporated,Industrials,Industrial Conglomerates,"Phoenix, Arizona"
CUBE,CubeSmart,CubeSmart,Real Estate,Industrial REITs,"Malvern, Pennsylvania"
CUZ,Cousins Properties Incorporated,Cousins Properties Incorporated,Real Estate,Office REITs,"Atlanta, Georgia"
CVLT,"Commvault Systems, Inc.","Commvault Systems, Inc.",Information Technology,Systems Software,"Tinton Falls, New Jersey"
CW,Curtiss-Wright Corporation,Curtiss-Wright Corporation,Industrials,Aerospace & Defense,"Davidson, North Carolina"
CXT,"Crane NXT, Co.","Crane NXT, Co.",Information Technology,Electronic Equipment & Instruments,"Stamford, Connecticut"
CYTK,"Cytokinetics, Incorporated","Cytokinetics, Incorporated",Health Care,Biotechnology,"South San Francisco, California"
DAR,Darling Ingredients Inc.,Darling Ingredients Inc.,Consumer Staples,Agricultural Products & Services,
DBX,"Dropbox, Inc.","Dropbox, Inc.",Information Technology,Application Software,"San Francisco, California"
DCI,"Donaldson Company, Inc.","Donaldson Company, Inc.",Industrials,Industrial Machinery & Supplies & Components,"Bloomington, Minnesota"
DINO,HF Sinclair Corporation,HF Sinclair Corporation,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas"
DKS,Dick's Sporting Goods Inc,"DICK'S Sporting Goods, Inc.",Consumer Discretionary,Specialty Stores,"Coraopolis, Pennsylvania"
DLB,Dolby Laboratories,"Dolby Laboratories, Inc.",Information Technology,Application Software,"San Francisco, California"
DOCS,"Doximity, Inc.","Doximity, Inc.",Health Care,Health Care Technology,"San Francisco, California"
DOCU,"DocuSign, Inc.","DocuSign, Inc.",Information Technology,Application Software,"San Francisco, California"
DT,"Dynatrace, Inc.","Dynatrace, Inc.",Information Technology,Application Software,"Waltham, Massachusetts"
DTM,"DT Midstream, Inc.","DT Midstream, Inc.",Energy,Oil & Gas Storage & Transportation,"Detroit, Michigan"
DUOL,"Duolingo, Inc.","Duolingo, Inc.",Consumer Discretionary,Education Services,"Pittsburgh, Pennsylvania"
EEFT,"Euronet Worldwide, Inc.","Euronet Worldwide, Inc.",Financials,Transaction & Payment Processing Services,"Leawood, Kansas"
EGP,"EastGroup Properties, Inc.","EastGroup Properties, Inc.",Real Estate,Industrial REITs,
EHC,Encompass Health Corporation,Encompass Health Corporation,Health Care,Health Care Facilities,"Birmingham, Alabama"
ELAN,Elanco Animal Health Incorporat,Elanco Animal Health Incorporated,Health Care,Pharmaceuticals,"Greenfield, Indiana"
ELF,"e.l.f. Beauty, Inc.","e.l.f. Beauty, Inc.",Consumer Staples,Personal Care Products,"Oakland, California"
ELS,"Equity Lifestyle Properties, In","Equity LifeStyle Properties, Inc.",Real Estate,Single-Family Residential REITs,"Chicago, Illinois"
ENS,EnerSys,EnerSys,Industrials,Electrical Components & Equipment,"Reading, Pennsylvania"
ENSG,"The Ensign Group, Inc.","The Ensign Group, Inc.",Health Care,Health Care Facilities,"San Juan Capistrano, California"
ENTG,"Entegris, Inc.","Entegris, Inc.",Information Technology,Semiconductor Materials & Equipment,"Billerica, Massachusetts"
EPR,EPR Properties,EPR Properties,Real Estate,Other Specialized REITs,"Kansas City, Missouri"
EQH,"Equitable Holdings, Inc.","Equitable Holdings, Inc.",Financials,Diversified Financial Services,"New York City, New York"
ESAB,ESAB Corporation,ESAB Corporation,Industrials,Industrial Machinery & Supplies & Components,"North Bethesda, Maryland"
ESNT,Essent Group Ltd.,Essent Group Ltd.,Financials,Commercial & Residential Mortgage Finance,
EVR,Evercore Inc.,Evercore Inc.,Financials,Investment Banking & Brokerage,"New York City, New York"
EWBC,"East West Bancorp, Inc.","East West Bancorp, Inc.",Financials,Regional Banks,"Pasadena, California"
EXEL,"Exelixis, Inc.","Exelixis, Inc.",Health Care,Biotechnology,"Alameda, California"
EXLS,"ExlService Holdings, Inc.","ExlService Holdings, Inc.",Industrials,Data Processing & Outsourced Services,"New York City, New York"
EXP,Eagle Materials Inc,Eagle Materials Inc.,Materials,Construction Materials,"Dallas, Texas"
EXPO,"Exponent, Inc.","Exponent, Inc.",Industrials,Research & Consulting Services,"Menlo Park, California"
FAF,First American Corporation (New,First American Financial Corporation,Financials,Property & Casualty Insurance,"Santa Ana, California"
FBIN,"Fortune Brands Innovations, Inc","Fortune Brands Innovations, Inc.",Industrials,Building Products,"Deerfield, Illinois"
FCFS,"FirstCash Holdings, Inc.","FirstCash Holdings, Inc.",Financials,Consumer Finance,"Fort Worth, Texas"
FCN,"FTI Consulting, Inc.","FTI Consulting, Inc.",Industrials,Research & Consulting Services,"Washington, D.C."
FFIN,"First Financial Bankshares, Inc","First Financial Bankshares, Inc.",Financials,Regional Banks,"Cincinnati, Ohio"
FHI,"Federated Hermes, Inc.","Federated Hermes, Inc.",Financials,Asset Management & Custody Banks,"Pittsburgh, Pennsylvania"
FHN,First Horizon Corporation,First Horizon Corporation,Financials,Regional Banks,"Memphis, Tennessee"
FIVE,"Five Below, Inc.","Five Below, Inc.",Consumer Discretionary,Specialty Stores,"Philadelphia, Pennsylvania"
FIX,"Comfort Systems USA, Inc.","Comfort Systems USA, Inc.",Industrials,Construction & Engineering,"Houston, Texas"
FLEX,Flex Ltd.,Flex Ltd.,Information Technology,Electronic Manufacturing Services,"Austin, Texas"
FLG,"Flagstar Bank, N.A.","Flagstar Bank, National Association",Financials,Regional Banks,"Hicksville, New York"
FLO,"Flowers Foods, Inc.","Flowers Foods, Inc.",Consumer Staples,Packaged Foods & Meats,"Thomasville, Georgia"
FLR,Fluor Corporation,Fluor Corporation,Industrials,Construction & Engineering,"Irving, Texas"
FLS,Flowserve Corporation,Flowserve Corporation,Industrials,Industrial Machinery & Supplies & Components,"Irving, Texas"
FN,Fabrinet,Fabrinet,Information Technology,Electronic Manufacturing Services,"Santa Clara, California"
FNB,F.N.B. Corporation,F.N.B. Corporation,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
FND,"Floor & Decor Holdings, Inc.","Floor & Decor Holdings, Inc.",Consumer Discretionary,Home Improvement Retail,"Smyrna, Georgia"
FNF,"Fidelity National Financial, In","Fidelity National Financial, Inc.",Financials,Property & Casualty Insurance,"Jacksonville, Florida"
FOUR,"Shift4 Payments, Inc.","Shift4 Payments, Inc.",Financials,Transaction & Payment Processing Services,"Center Valley, Pennsylvania"
FR,"First Industrial Realty Trust, ","First Industrial Realty Trust, Inc.",Real Estate,Industrial REITs,"Chicago, Illinois"
FTI,TechnipFMC plc,TechnipFMC plc,Energy,Oil & Gas Equipment & Services,"Houston, Texas"
FYBR,"Frontier Communications Parent,","Frontier Communications Parent, Inc.",Communication Services,Integrated Telecommunication Services,"Norwalk, Connecticut"
G,Genpact Limited,Genpact Limited,Industrials,Data Processing & Outsourced Services,"New York City, New York"
GAP,"Gap, Inc. (The)","The Gap, Inc.",Consumer Discretionary,Apparel Retail,"San Francisco, California"
GATX,GATX Corporation,GATX Corporation,Industrials,Construction Machinery & Heavy Transportation Equipment,"Chicago, Illinois"
GBCI,"Glacier Bancorp, Inc.","Glacier Bancorp, Inc.",Financials,Regional Banks,"Kalispell, Montana"
GEF,Greif Inc.,"Greif, Inc.",Materials,"Metal, Glass & Plastic Containers","Delaware, Ohio"
GGG,Graco Inc.,Graco Inc.,Industrials,Industrial Machinery & Supplies & Components,"Minneapolis, Minnesota"
GHC,Graham Holdings Company,Graham Holdings Company,Consumer Discretionary,Education Services,"Arlington County, Virginia"
GLPI,"Gaming and Leisure Properties, ","Gaming and Leisure Properties, Inc.",Real Estate,Other Specialized REITs,"Wyomissing, Pennsylvania"
GME,GameStop Corporation,GameStop Corp.,Consumer Discretionary,Computer & Electronics Retail,"Grapevine, Texas"
GMED,"Globus Medical, Inc.","Globus Medical, Inc.",Health Care,Health Care Equipment,"Audubon, Pennsylvania"
GNTX,Gentex Corporation,Gentex Corporation,Consumer Discretionary,Automotive Parts & Equipment,"Zeeland, Michigan"
GPK,Graphic Packaging Holding Compa,Graphic Packaging Holding Company,Materials,Paper & Plastic Packaging Products & Materials,"Atlanta, Georgia"
GT,The Goodyear Tire & Rubber Comp,The Goodyear Tire & Rubber Company,Consumer Discretionary,Tires & Rubber,"Akron, Ohio"
GTLS,"Chart Industries, Inc.","Chart Industries, Inc.",Industrials,Industrial Machinery & Supplies & Components,
GTM,ZoomInfo Technologies Inc.,ZoomInfo Technologies Inc.,Communication Services,Interactive Media & Services,"Vancouver, Washington"
GWRE,"Guidewire Software, Inc.","Guidewire Software, Inc.",Information Technology,Application Software,"San Mateo, California"
GXO,"GXO Logistics, Inc.","GXO Logistics, Inc.",Industrials,Air Freight & Logistics,"Greenwich, Connecticut"
H,Hyatt Hotels Corporation,Hyatt Hotels Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Chicago, Illinois"
HAE,Haemonetics Corporation,Haemonetics Corporation,Health Care,Health Care Supplies,"Boston, Massachusetts"
HALO,"Halozyme Therapeutics, Inc.","Halozyme Therapeutics, Inc.",Health Care,Biotechnology,"San Diego, California"
HGV,Hilton Grand Vacations Inc.,Hilton Grand Vacations Inc.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Orlando, Florida"
HIMS,"Hims & Hers Health, Inc.","Hims & Hers Health, Inc.",Health Care,Health Care Services,"San Francisco, California"
HLI,"Houlihan Lokey, Inc.","Houlihan Lokey, Inc.",Financials,Investment Banking & Brokerage,"Los Angeles, California"
HLNE,Hamilton Lane Incorporated,Hamilton Lane Incorporated,Financials,Asset Management & Custody Banks,"Conshohocken, Pennsylvania"
HOG,"Harley-Davidson, Inc.","Harley-Davidson, Inc.",Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin"
HOMB,"Home BancShares, Inc.","Home Bancshares, Inc. (Conway, AR)",Financials,Regional Banks,"Conway, Arkansas"
HQY,"HealthEquity, Inc.","HealthEquity, Inc.",Health Care,Managed Health Care,"Draper, Utah"
HR,Healthcare Realty Trust Incorpo,Healthcare Realty Trust Incorporated,Real Estate,Health Care REITs,
HRB,"H&R Block, Inc.","H&R Block, Inc.",Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri"
HWC,Hancock Whitney Corporation,Hancock Whitney Corporation,Financials,Regional Banks,"Gulfport, Mississippi"
HXL,Hexcel Corporation,Hexcel Corporation,Industrials,Aerospace & Defense,"Stamford, Connecticut"
IBOC,International Bancshares Corpor,International Bancshares Corporation,Financials,Regional Banks,"Laredo, Texas"
IDA,"IDACORP, Inc.","IDACORP, Inc.",Utilities,Electric Utilities,"Boise, Idaho"
ILMN,"Illumina, Inc.","Illumina, Inc.",Health Care,Life Sciences Tools & Services,"San Diego, California"
INGR,Ingredion Incorporated,Ingredion Incorporated,Consumer Staples,Agricultural Products & Services,"Westchester, Illinois"
IPGP,IPG Photonics Corporation,IPG Photonics Corporation,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts"
IRDM,Iridium Communications Inc,Iridium Communications Inc.,Communication Services,Alternative Carriers,"McLean, Virginia"
IRT,"Independence Realty Trust, Inc.","Independence Realty Trust, Inc.",Real Estate,Multi-Family Residential REITs,
ITT,ITT Inc.,ITT Inc.,Industrials,Industrial Machinery & Supplies & Components,"Stamford, Connecticut"
JAZZ,Jazz Pharmaceuticals plc,Jazz Pharmaceuticals plc,Health Care,Pharmaceuticals,"Dublin, Ireland"
JEF,Jefferies Financial Group Inc.,Jefferies Financial Group Inc.,Financials,Multi-Sector Holdings,"New York City, New York"
JHG,Janus Henderson Group plc,Janus Henderson Group plc,Financials,Asset Management & Custody Banks,
JLL,Jones Lang LaSalle Incorporated,Jones Lang LaSalle Incorporated,Real Estate,Real Estate Services,"Chicago, Illinois"
KBH,KB Home,KB Home,Consumer Discretionary,Homebuilding,"Los Angeles, California"
KBR,"KBR, Inc.","KBR, Inc.",Industrials,Diversified Support Services,"Houston, Texas"
KD,"Kyndryl Holdings, Inc.","Kyndryl Holdings, Inc.",Information Technology,IT Consulting & Other Services,"New York City, New York"
KEX,Kirby Corporation,Kirby Corporation,Industrials,Marine Transportation,"Houston, Texas"
KMPR,Kemper Corporation,Kemper Corporation,Financials,Multi-line Insurance,"Chicago, Illinois"
KNF,Knife Riv Holding Co.,Knife River Corporation,Materials,Construction Materials,"Bismarck, North Dakota"
KNSL,"Kinsale Capital Group, Inc.","Kinsale Capital Group, Inc.",Financials,Property & Casualty Insurance,
KNX,Knight-Swift Transportation Hol,Knight-Swift Transportation Holdings Inc.,Industrials,Cargo Ground Transportation,"Phoenix, Arizona"
KRC,Kilroy Realty Corporation,Kilroy Realty Corporation,Real Estate,Office REITs,
KRG,Kite Realty Group Trust,Kite Realty Group Trust,Real Estate,Retail REITs,
KTOS,Kratos Defense & Security Solut,"Kratos Defense & Security Solutions, Inc.",Industrials,Aerospace & Defense,"San Diego, California"
LAD,"Lithia Motors, Inc.","Lithia Motors, Inc.",Consumer Discretionary,Automotive Retail,"Medford, Oregon"
LAMR,Lamar Advertising Company,Lamar Advertising Company,Real Estate,Other Specialized REITs,"Baton Rouge, Louisiana"
LEA,Lear Corporation,Lear Corporation,Consumer Discretionary,Automotive Parts & Equipment,"Southfield, Michigan"
LECO,"Lincoln Electric Holdings, Inc.","Lincoln Electric Holdings, Inc.",Industrials,Industrial Machinery & Supplies & Components,"Euclid, Ohio"
LFUS,"Littelfuse, Inc.","Littelfuse, Inc.",Information Technology,Electronic Components,"Chicago, Illinois"
LITE,Lumentum Holdings Inc.,Lumentum Holdings Inc.,Information Technology,Communications Equipment,"San Jose, California"
LIVN,LivaNova PLC,LivaNova PLC,Health Care,Health Care Equipment,"Houston, Texas"
LNTH,"Lantheus Holdings, Inc.","Lantheus Holdings, Inc.",Health Care,Health Care Supplies,
LNW,"Light & Wonder, Inc.","Light & Wonder, Inc.",Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada"
LOPE,"Grand Canyon Education, Inc.","Grand Canyon Education, Inc.",Consumer Discretionary,Education Services,"Phoenix, Arizona"
LPX,Louisiana-Pacific Corporation,Louisiana-Pacific Corporation,Materials,Forest Products,"Nashville, Tennessee"
LSCC ,Lattice Semiconductor Corporati,Lattice Semiconductor Corporation,Information Technology,Semiconductors,"Hillsboro, Oregon"
LSTR,"Landstar System, Inc.","Landstar System, Inc.",Industrials,Cargo Ground Transportation,"Jacksonville, Florida"
M,Macy's Inc,"Macy's, Inc.",Consumer Discretionary,Broadline Retail,"New York City, New York"
MANH,"Manhattan Associates, Inc.","Manhattan Associates, Inc.",Information Technology,Application Software,"Atlanta, Georgia"
MASI,Masimo Corporation,Masimo Corporation,Health Care,Health Care Equipment,"Irvine, California"
MAT,"Mattel, Inc.","Mattel, Inc.",Consumer Discretionary,Leisure Products,"El Segundo, California"
MEDP,"Medpace Holdings, Inc.","Medpace Holdings, Inc.",Health Care,Life Sciences Tools & Services,"Cincinnati, Ohio"
MIDD,The Middleby Corporation,The Middleby Corporation,Industrials,Industrial Machinery & Supplies & Components,"Elgin, Illinois"
MKSI,MKS Inc.,MKS Inc.,Information Technology,Semiconductor Materials & Equipment,"Andover, Massachusetts"
MLI,"Mueller Industries, Inc.","Mueller Industries, Inc.",Industrials,Industrial Machinery & Supplies & Components,"Collierville, Tennessee"
MMS,"Maximus, Inc.","Maximus, Inc.",Industrials,Data Processing & Outsourced Services,"Tysons, Virginia"
MORN,"Morningstar, Inc.","Morningstar, Inc.",Financials,Financial Exchanges & Data,"Chicago, Illinois"
MP,MP Materials Corp.,MP Materials Corp.,Materials,Diversified Metals & Mining,"Las Vegas, Nevada"
MSA,MSA Safety Incorporated,MSA Safety Incorporated,Industrials,Office Services & Supplies,"Cranberry Township, Pennsylvania"
MSM,"MSC Industrial Direct Company, ","MSC Industrial Direct Co., Inc.",Industrials,Trading Companies & Distributors,"Melville, New York Davidson, North Carolina"
MTDR,Matador Resources Company,Matador Resources Company,Energy,Oil & Gas Exploration & Production,"Dallas, Texas"
MTG,MGIC Investment Corporation,MGIC Investment Corporation,Financials,Reinsurance,"Milwaukee, Wisconsin"
MTN,"Vail Resorts, Inc.","Vail Resorts, Inc.",Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Broomfield, Colorado"
MTSI,MACOM Technology Solutions Hold,"MACOM Technology Solutions Holdings, Inc.",Information Technology,Semiconductors,"Lowell, Massachusetts"
MTZ,"MasTec, Inc.","MasTec, Inc.",Industrials,Construction & Engineering,"Coral Gables, Florida"
MUR,Murphy Oil Corporation,Murphy Oil Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
MUSA,Murphy USA Inc.,Murphy USA Inc.,Consumer Discretionary,Automotive Retail,"El Dorado, Arkansas"
MZTI,The Marzetti Company,The Marzetti Company,Consumer Staples,Packaged Foods & Meats,"Westerville, Ohio"
NBIX,"Neurocrine Biosciences, Inc.","Neurocrine Biosciences, Inc.",Health Care,Biotechnology,"San Diego, California"
NEU,NewMarket Corp,NewMarket Corporation,Materials,Specialty Chemicals,"Richmond, Virginia"
